Contract name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,,,,
AAPL230519C00080000,2023-02-10 1:31PM EST,80,71.7,72.7,73,0,,,,
AAPL230519C00085000,2023-02-10 1:19PM EST,85,66.85,67.8,68.15,0,,,,
AAPL230519C00090000,2023-02-10 3:52PM EST,90,62.1,62.95,63.25,0,,,,
AAPL230519C00095000,2023-02-13 9:47AM EST,95,58.1,58.05,58.3,0,,,,
AAPL230519C00100000,2023-02-14 10:48AM EST,100,52.95,53.2,53.45,-2.38,,,,
AAPL230519C00105000,2023-02-13 9:47AM EST,105,48.45,48.3,48.6,0,,,,
AAPL230519C00110000,2023-02-13 11:53AM EST,110,45.55,43.6,43.9,0,,,,
AAPL230519C00115000,2023-02-14 10:28AM EST,115,40.35,38.85,39.15,2.85,,,,
AAPL230519C00120000,2023-02-14 11:06AM EST,120,34.7,34.15,34.55,-1.15,,,,
AAPL230519C00125000,2023-02-14 9:39AM EST,125,29.8,29.75,30,-2.4,,,,
AAPL230519C00130000,2023-02-14 11:16AM EST,130,25.8,25.45,25.7,-1.6,,,,
AAPL230519C00135000,2023-02-14 9:40AM EST,135,21.95,21.35,21.5,-0.75,,,,
AAPL230519C00140000,2023-02-14 12:30PM EST,140,17.7,17.45,17.65,-1.5,,,,
AAPL230519C00145000,2023-02-14 12:32PM EST,145,14.15,14,14.15,-1.65,,,,
AAPL230519C00150000,2023-02-14 12:22PM EST,150,11.15,10.8,10.95,-1.29,,,,
AAPL230519C00155000,2023-02-14 12:35PM EST,155,8.35,8.1,8.2,-1.05,,,,
AAPL230519C00160000,2023-02-14 12:14PM EST,160,5.95,5.85,5.95,-1.05,,,,
AAPL230519C00165000,2023-02-14 12:39PM EST,165,4.08,4,4.1,-0.87,,,,
AAPL230519C00170000,2023-02-14 12:48PM EST,170,2.72,2.68,2.72,-0.67,,,,
AAPL230519C00175000,2023-02-14 12:47PM EST,175,1.77,1.73,1.76,-0.5,,,,
AAPL230519C00180000,2023-02-14 12:47PM EST,180,1.12,1.1,1.12,-0.34,,,,
AAPL230519C00185000,2023-02-14 12:51PM EST,185,0.7,0.68,0.7,-0.23,,,,
AAPL230519C00190000,2023-02-14 12:48PM EST,190,0.44,0.44,0.45,-0.17,,,,
AAPL230519C00195000,2023-02-14 10:31AM EST,195,0.31,0.29,0.3,-0.12,,,,
AAPL230519C00200000,2023-02-14 12:30PM EST,200,0.2,0.2,0.21,-0.09,,,,
AAPL230519C00205000,2023-02-13 3:25PM EST,205,0.19,0.14,0.15,0,,,,
AAPL230519C00210000,2023-02-14 12:54PM EST,210,0.11,0.1,0.11,-0.01,,,,
AAPL230519C00215000,2023-02-14 11:46AM EST,215,0.07,0.07,0.08,-0.04,,,,
AAPL230519C00220000,2023-02-13 10:52AM EST,220,0.08,0.06,0.07,0,,,,
AAPL230519C00225000,2023-02-09 2:41PM EST,225,0.06,0.04,0.05,0,,,,
