Contract name,Last Trade Date,Strike,Last Price,BidPut,AskPut,BidCall,AskCall,Stock
AAPL230519P00080000,2023-02-14 9:51AM EST,80.00,0.11,0.10,0.12,72.70,73.00,152.12
AAPL230519P00085000,2023-02-13 2:16PM EST,85.00,0.17,0.14,0.16,67.80,68.15,152.12
AAPL230519P00090000,2023-02-14 12:52PM EST,90.00,0.20,0.19,0.20,62.95,63.25,152.12
AAPL230519P00095000,2023-02-14 12:44PM EST,95.00,0.26,0.25,0.26,58.05,58.30,152.12
AAPL230519P00100000,2023-02-14 11:47AM EST,100.00,0.39,0.34,0.35,53.20,53.45,152.12
AAPL230519P00105000,2023-02-14 12:45PM EST,105.00,0.47,0.46,0.47,48.30,48.60,152.12
AAPL230519P00110000,2023-02-14 12:48PM EST,110.00,0.63,0.62,0.64,43.60,43.90,152.12
AAPL230519P00115000,2023-02-14 11:56AM EST,115.00,0.92,0.86,0.87,38.85,39.15,152.12
AAPL230519P00120000,2023-02-14 12:45PM EST,120.00,1.16,1.18,1.18,34.15,34.55,152.12
AAPL230519P00125000,2023-02-14 12:47PM EST,125.00,1.60,1.61,1.64,29.75,30.00,152.12
AAPL230519P00130000,2023-02-14 12:53PM EST,130.00,2.25,2.22,2.25,25.45,25.70,152.12
AAPL230519P00135000,2023-02-14 12:50PM EST,135.00,3.05,3.00,3.10,21.35,21.50,152.12
AAPL230519P00140000,2023-02-14 12:52PM EST,140.00,4.15,4.15,4.25,17.45,17.65,152.12
AAPL230519P00145000,2023-02-14 11:53AM EST,145.00,5.90,5.55,5.65,14.00,14.15,152.12
AAPL230519P00150000,2023-02-14 12:50PM EST,150.00,7.40,7.45,7.50,10.80,10.95,152.12
AAPL230519P00155000,2023-02-14 12:46PM EST,155.00,9.60,9.60,9.70,8.10,8.20,152.12
AAPL230519P00160000,2023-02-14 12:26PM EST,160.00,12.36,12.30,12.50,5.85,5.95,152.12
AAPL230519P00165000,2023-02-13 12:23PM EST,165.00,14.52,15.50,15.80,4.00,4.10,152.12
AAPL230519P00170000,2023-02-14 11:03AM EST,170.00,19.25,19.25,19.65,2.68,2.72,152.12
AAPL230519P00175000,2023-02-14 11:29AM EST,175.00,24.00,23.40,23.70,1.73,1.76,152.12
AAPL230519P00180000,2023-02-06 3:16PM EST,180.00,29.30,28.00,28.35,1.10,1.12,152.12
AAPL230519P00185000,2023-02-06 3:27PM EST,185.00,34.17,32.25,34.05,0.68,0.70,152.12
AAPL230519P00190000,2023-02-09 3:06PM EST,190.00,38.95,37.95,38.35,0.44,0.45,152.12
