Contract name,Last Trade Date,Strike,Last Price,Bid,Ask,Change
AAPL230519P00060000,2023-02-14 11:39AM EST,60,0.05,0.02,0.04,0
AAPL230519P00065000,2023-02-13 2:16PM EST,65,0.03,0.03,0.05,0
AAPL230519P00070000,2023-02-10 3:45PM EST,70,0.08,0.04,0.07,0
AAPL230519P00075000,2023-02-13 3:25PM EST,75,0.11,0.07,0.09,0.01
AAPL230519P00080000,2023-02-14 9:51AM EST,80,0.11,0.1,0.12,-0.04
AAPL230519P00085000,2023-02-13 2:16PM EST,85,0.17,0.14,0.16,0
AAPL230519P00090000,2023-02-14 12:52PM EST,90,0.2,0.19,0.2,-0.02
AAPL230519P00095000,2023-02-14 12:44PM EST,95,0.26,0.25,0.26,-0.02
AAPL230519P00100000,2023-02-14 11:47AM EST,100,0.39,0.34,0.35,0.02
AAPL230519P00105000,2023-02-14 12:45PM EST,105,0.47,0.46,0.47,-0.03
AAPL230519P00110000,2023-02-14 12:48PM EST,110,0.63,0.62,0.64,-0.05
AAPL230519P00115000,2023-02-14 11:56AM EST,115,0.92,0.86,0.87,0.05
AAPL230519P00120000,2023-02-14 12:45PM EST,120,1.16,1.18,1.18,-0.02
AAPL230519P00125000,2023-02-14 12:47PM EST,125,1.6,1.61,1.64,-0.03
AAPL230519P00130000,2023-02-14 12:53PM EST,130,2.25,2.22,2.25,0.03
AAPL230519P00135000,2023-02-14 12:50PM EST,135,3.05,3,3.1,0.04
AAPL230519P00140000,2023-02-14 12:52PM EST,140,4.15,4.15,4.25,0.14
AAPL230519P00145000,2023-02-14 11:53AM EST,145,5.9,5.55,5.65,0.55
AAPL230519P00150000,2023-02-14 12:50PM EST,150,7.4,7.45,7.5,0.4
AAPL230519P00155000,2023-02-14 12:46PM EST,155,9.6,9.6,9.7,0.5
AAPL230519P00160000,2023-02-14 12:26PM EST,160,12.36,12.3,12.5,0.76
AAPL230519P00165000,2023-02-13 12:23PM EST,165,14.52,15.5,15.8,0
AAPL230519P00170000,2023-02-14 11:03AM EST,170,19.25,19.25,19.65,1.1
AAPL230519P00175000,2023-02-14 11:29AM EST,175,24,23.4,23.7,3.7
AAPL230519P00180000,2023-02-06 3:16PM EST,180,29.3,28,28.35,0
AAPL230519P00185000,2023-02-06 3:27PM EST,185,34.17,32.25,34.05,0
AAPL230519P00190000,2023-02-09 3:06PM EST,190,38.95,37.95,38.35,0
AAPL230519P00195000,2022-12-21 11:26AM EST,195,59.2,59.45,59.8,0
