Date,Open,High,Low,Close,Adj Close,Volume
44971.00,34086.00,34101.00,34058.00,34095.00,34095.00,601.00
44970.00,33905.00,34289.00,33759.00,34268.00,34268.00,186965.00
44967.00,33760.00,33924.00,33543.00,33895.00,33895.00,186965.00
44966.00,34043.00,34287.00,33630.00,33734.00,33734.00,194883.00
44965.00,34145.00,34212.00,33919.00,33995.00,33995.00,176347.00
44964.00,33920.00,34283.00,33661.00,34206.00,34206.00,273425.00
44963.00,33886.00,34010.00,33685.00,33934.00,33934.00,164848.00
44960.00,34048.00,34226.00,33821.00,33962.00,33962.00,226635.00
44959.00,34126.00,34214.00,33857.00,34097.00,34097.00,194089.00
44958.00,34132.00,34407.00,33624.00,34148.00,34148.00,207744.00
44957.00,33819.00,34166.00,33579.00,34156.00,34156.00,147863.00
44956.00,34014.00,34123.00,33762.00,33785.00,33785.00,150805.00
44953.00,33998.00,34241.00,33899.00,34046.00,34046.00,141444.00
44952.00,33813.00,34044.00,33701.00,34023.00,34023.00,163835.00
44951.00,33838.00,33866.00,33347.00,33823.00,33823.00,182792.00
44950.00,33732.00,33906.00,33474.00,33826.00,33826.00,160727.00
44949.00,33471.00,33885.00,33402.00,33727.00,33727.00,176738.00
44946.00,33187.00,33482.00,33031.00,33474.00,33474.00,165276.00
44945.00,33368.00,33391.00,33067.00,33139.00,33139.00,176088.00
44944.00,34006.00,34131.00,33365.00,33386.00,33386.00,200014.00
44943.00,34436.00,34489.00,33970.00,34020.00,34020.00,189736.00
44942.00,34436.00,34489.00,34302.00,34378.00,34378.00,152638.00
44939.00,34308.00,34464.00,34006.00,34416.00,34416.00,152638.00
44938.00,34119.00,34422.00,33850.00,34319.00,34319.00,206584.00
44937.00,33849.00,34125.00,33826.00,34110.00,34110.00,122663.00
44936.00,33674.00,33870.00,33489.00,33849.00,33849.00,141916.00
44935.00,33790.00,34080.00,33630.00,33670.00,33670.00,153569.00
44932.00,33082.00,33863.00,33032.00,33772.00,33772.00,238427.00
44931.00,33380.00,33467.00,32943.00,33070.00,33070.00,173179.00
44930.00,33238.00,33564.00,33171.00,33416.00,33416.00,187173.00
44929.00,33485.00,33643.00,32983.00,33278.00,33278.00,196899.00
44925.00,33351.00,33370.00,32989.00,33285.00,33285.00,119354.00
44924.00,33067.00,33458.00,32999.00,33375.00,33375.00,105021.00
44923.00,33427.00,33567.00,33026.00,33046.00,33046.00,137870.00
44922.00,33399.00,33613.00,33236.00,33416.00,33416.00,125976.00
44918.00,33215.00,33411.00,32989.00,33375.00,33375.00,158608.00
44917.00,33639.00,33663.00,32750.00,33208.00,33208.00,165174.00
44916.00,33148.00,33645.00,33141.00,33569.00,33569.00,150659.00
44915.00,32950.00,33204.00,32686.00,33053.00,33053.00,156315.00
44914.00,33105.00,33279.00,32792.00,32973.00,32973.00,138092.00
44911.00,33415.00,33495.00,32869.00,33128.00,33128.00,175316.00
44910.00,34290.00,34338.00,33242.00,33436.00,33436.00,184524.00
44909.00,34383.00,34674.00,33962.00,34239.00,34239.00,183391.00
44908.00,34244.00,35228.00,34160.00,34388.00,34388.00,252504.00
44907.00,33729.00,34278.00,33673.00,34269.00,34269.00,132977.00
44904.00,34037.00,34199.00,33723.00,33741.00,33741.00,83746.00
44903.00,33858.00,34169.00,33722.00,34043.00,34043.00,16164.00
44902.00,33876.00,34053.00,33702.00,33865.00,33865.00,8800.00
44901.00,34260.00,34330.00,33692.00,33876.00,33876.00,6084.00
44900.00,34668.00,34700.00,34138.00,34235.00,34235.00,2512.00
44897.00,34665.00,34776.00,34196.00,34712.00,34712.00,1699.00
44896.00,34823.00,34962.00,34416.00,34683.00,34683.00,1553.00
44895.00,34123.00,34900.00,33884.00,34854.00,34854.00,1911.00
44894.00,34121.00,34223.00,33929.00,34109.00,34109.00,474.00
44893.00,34561.00,34563.00,34066.00,34121.00,34121.00,934.00
44890.00,34505.00,34639.00,34461.00,34608.00,34608.00,477.00
44888.00,34375.00,34522.00,34275.00,34471.00,34471.00,587.00
44887.00,33991.00,34399.00,33958.00,34391.00,34391.00,1348.00
44886.00,33963.00,34110.00,33839.00,33979.00,33979.00,269.00
44883.00,33812.00,34100.00,33743.00,34025.00,34025.00,344.00
44882.00,33907.00,33950.00,33449.00,33829.00,33829.00,270.00
44881.00,33809.00,33966.00,33725.00,33841.00,33841.00,297.00
44880.00,33889.00,34270.00,33591.00,33851.00,33851.00,567.00
44879.00,33922.00,34208.00,33815.00,33817.00,33817.00,448.00
44876.00,33988.00,34210.00,33674.00,34013.00,34013.00,745.00
44875.00,32821.00,34048.00,32781.00,33964.00,33964.00,1109.00
44874.00,33380.00,33455.00,32765.00,32777.00,32777.00,947.00
44873.00,33083.00,33612.00,33043.00,33425.00,33425.00,667.00
44872.00,32540.00,33130.00,32460.00,33083.00,33083.00,513.00
44868.00,32192.00,32860.00,32192.00,32670.00,32670.00,515.00
44867.00,32399.00,32508.00,32000.00,32249.00,32249.00,384.00
44866.00,32910.00,33333.00,32378.00,32416.00,32416.00,389.00
44865.00,33020.00,33241.00,32786.00,32920.00,32920.00,87.00
44864.00,33063.00,33128.00,32891.00,33009.00,33009.00,272.00
44861.00,32258.00,33215.00,32164.00,33129.00,33129.00,325.00
44860.00,32281.00,32605.00,32125.00,32301.00,32301.00,185.00
44859.00,32011.00,32425.00,31974.00,32100.00,32100.00,129.00
44858.00,31733.00,32145.00,31576.00,32097.00,32097.00,127.00
44857.00,31549.00,31860.00,31169.00,31779.00,31779.00,255.00
44854.00,30611.00,31418.00,30400.00,31340.00,31340.00,306.00
44853.00,30675.00,31055.00,30530.00,30571.00,30571.00,212.00
44852.00,30905.00,31003.00,30502.00,30680.00,30680.00,75.00
44851.00,30541.00,31075.00,30541.00,30795.00,30795.00,162.00
44850.00,30032.00,30536.00,30032.00,30446.00,30446.00,147.00
44847.00,30288.00,30658.00,29895.00,29911.00,29911.00,176.00
44846.00,29485.00,30424.00,28900.00,30309.00,30309.00,242.00
44845.00,29479.00,29670.00,29450.00,29459.00,29459.00,103.00
44844.00,29300.00,29845.00,29296.00,29459.00,29459.00,159.00
44843.00,29489.00,29707.00,29276.00,29446.00,29446.00,103.00
44840.00,30155.00,30245.00,29484.00,29548.00,29548.00,153.00
44839.00,30517.00,30660.00,30103.00,30176.00,30176.00,116.00
44838.00,30425.00,30660.00,30138.00,30498.00,30498.00,78.00
44837.00,29750.00,30580.00,29750.00,30556.00,30556.00,267.00
44836.00,29046.00,29840.00,28850.00,29719.00,29719.00,156.00
44833.00,29549.00,29672.00,28982.00,28982.00,28982.00,114.00
44832.00,29938.00,29938.00,29289.00,29457.00,29457.00,78.00
44831.00,29420.00,30038.00,29140.00,29926.00,29926.00,144.00
44830.00,29595.00,29900.00,29220.00,29381.00,29381.00,85.00
44829.00,29880.00,29900.00,29496.00,29527.00,29527.00,215.00
44826.00,30382.00,30388.00,29588.00,29856.00,29856.00,79.00
44825.00,30414.00,30660.00,30257.00,30342.00,30342.00,135.00
44824.00,31010.00,31269.00,30455.00,30478.00,30478.00,99.00
44823.00,31339.00,31398.00,30773.00,30991.00,30991.00,105.00
44822.00,31120.00,31328.00,30839.00,31306.00,31306.00,122.00
44819.00,31101.00,31111.00,30845.00,31080.00,31080.00,68.00
44818.00,31468.00,31518.00,31220.00,31220.00,31220.00,36.00
44817.00,31425.00,31500.00,31304.00,31420.00,31420.00,44.00
44816.00,32101.00,32101.00,31319.00,31319.00,31319.00,11.00
44815.00,32656.00,32656.00,32596.00,32596.00,32596.00,2.00
44812.00,32384.00,32384.00,32384.00,32384.00,32384.00,-
44811.00,31994.00,31994.00,31994.00,31994.00,31994.00,-
44810.00,31592.00,31798.00,31592.00,31798.00,31798.00,1.00
44809.00,31381.00,31381.00,31381.00,31381.00,31381.00,-
44805.00,31521.00,31521.00,31521.00,31521.00,31521.00,-
44804.00,31891.00,31891.00,31891.00,31891.00,31891.00,-
44803.00,31751.00,31751.00,31751.00,31751.00,31751.00,-
44802.00,31992.00,31992.00,31992.00,31992.00,31992.00,-
44801.00,32289.00,32289.00,32289.00,32289.00,32289.00,-
44798.00,32467.00,32467.00,32467.00,32467.00,32467.00,-
44797.00,33518.00,33518.00,33518.00,33518.00,33518.00,4.00
44796.00,33156.00,33156.00,33156.00,33156.00,33156.00,-
44795.00,33102.00,33102.00,33102.00,33102.00,33102.00,-
44794.00,33242.00,33242.00,33242.00,33242.00,33242.00,-
44791.00,33922.00,33922.00,33922.00,33922.00,33922.00,-
44790.00,34185.00,34185.00,34185.00,34185.00,34185.00,-
44789.00,34188.00,34188.00,34188.00,34188.00,34188.00,10.00
44788.00,34361.00,34361.00,34361.00,34361.00,34361.00,-
44787.00,34107.00,34107.00,34107.00,34107.00,34107.00,-
44784.00,33952.00,33952.00,33952.00,33952.00,33952.00,-
44783.00,33529.00,33529.00,33529.00,33529.00,33529.00,-
44782.00,33506.00,33506.00,33506.00,33506.00,33506.00,-
44781.00,32971.00,32971.00,32971.00,32971.00,32971.00,-
44780.00,33049.00,33049.00,33049.00,33049.00,33049.00,-
44777.00,33011.00,33011.00,33011.00,33011.00,33011.00,-
44776.00,32925.00,32925.00,32925.00,32925.00,32925.00,-
44775.00,33029.00,33029.00,33029.00,33029.00,33029.00,-
44774.00,32600.00,32600.00,32600.00,32600.00,32600.00,-
44773.00,33021.00,33021.00,33021.00,33021.00,33021.00,-
44770.00,33074.00,33074.00,33074.00,33074.00,33074.00,-
44769.00,32743.00,32743.00,32743.00,32743.00,32743.00,-
44768.00,32409.00,32409.00,32409.00,32409.00,32409.00,-
44767.00,31978.00,31978.00,31978.00,31978.00,31978.00,-
44766.00,32210.00,32210.00,32210.00,32210.00,32210.00,-
44763.00,32111.00,32111.00,32111.00,32111.00,32111.00,-
44762.00,32243.00,32243.00,32243.00,32243.00,32243.00,-
44761.00,32098.00,32098.00,32098.00,32098.00,32098.00,-
44760.00,32055.00,32055.00,32055.00,32055.00,32055.00,-
44759.00,31296.00,31296.00,31296.00,31296.00,31296.00,-
44756.00,31177.00,31492.00,31177.00,31492.00,31492.00,1.00
44755.00,30843.00,30843.00,30843.00,30843.00,30843.00,1.00
44754.00,30991.00,30991.00,30991.00,30991.00,30991.00,-
44753.00,31203.00,31203.00,31203.00,31203.00,31203.00,-
44752.00,31373.00,31373.00,31373.00,31373.00,31373.00,-
44749.00,31551.00,31551.00,31551.00,31551.00,31551.00,-
44748.00,31612.00,31612.00,31612.00,31612.00,31612.00,-
44747.00,31261.00,31261.00,31261.00,31261.00,31261.00,-
44746.00,31164.00,31164.00,31164.00,31164.00,31164.00,-
44742.00,31292.00,31292.00,31292.00,31292.00,31292.00,-
44741.00,30973.00,30973.00,30973.00,30973.00,30973.00,-
44740.00,31246.00,31246.00,31246.00,31246.00,31246.00,-
44739.00,31167.00,31167.00,31167.00,31167.00,31167.00,-
44738.00,31648.00,31648.00,31648.00,31648.00,31648.00,-
44735.00,31720.00,31720.00,31720.00,31720.00,31720.00,-
44734.00,30918.00,30918.00,30918.00,30918.00,30918.00,-
44733.00,30728.00,30728.00,30728.00,30728.00,30728.00,-
44732.00,30762.00,30762.00,30762.00,30762.00,30762.00,-
44728.00,30114.00,30114.00,30114.00,30114.00,30114.00,-
44727.00,30135.00,30135.00,30135.00,30135.00,30135.00,-
44726.00,30896.00,30896.00,30896.00,30896.00,30896.00,-
44725.00,30601.00,30601.00,30601.00,30601.00,30601.00,-
44724.00,30767.00,30767.00,30767.00,30767.00,30767.00,-
44721.00,31638.00,31638.00,31638.00,31638.00,31638.00,-
44720.00,32522.00,32522.00,32522.00,32522.00,32522.00,-
44719.00,33153.00,33153.00,33153.00,33153.00,33153.00,-
44718.00,33441.00,33441.00,33441.00,33441.00,33441.00,-
44717.00,33184.00,33184.00,33184.00,33184.00,33184.00,-
44714.00,33157.00,33157.00,33157.00,33157.00,33157.00,-
44713.00,33503.00,33503.00,33503.00,33503.00,33503.00,-
44712.00,33083.00,33083.00,33083.00,33083.00,33083.00,-
44711.00,33253.00,33253.00,33253.00,33253.00,33253.00,-
44707.00,33464.00,33464.00,33464.00,33464.00,33464.00,-
44706.00,32899.00,32899.00,32899.00,32899.00,32899.00,-
44705.00,32380.00,32380.00,32380.00,32380.00,32380.00,-
44704.00,32167.00,32167.00,32167.00,32167.00,32167.00,-
44703.00,32148.00,32148.00,32148.00,32148.00,32148.00,-
44700.00,31528.00,31528.00,31528.00,31528.00,31528.00,-
44699.00,31499.00,31499.00,31499.00,31499.00,31499.00,-
44698.00,31747.00,31747.00,31747.00,31747.00,31747.00,-
44697.00,32909.00,32909.00,32909.00,32909.00,32909.00,-
44696.00,32487.00,32487.00,32487.00,32487.00,32487.00,-
44693.00,32457.00,32457.00,32457.00,32457.00,32457.00,-
44692.00,31988.00,31988.00,31988.00,31988.00,31988.00,-
44691.00,32089.00,32089.00,32089.00,32089.00,32089.00,-
44690.00,32442.00,32442.00,32442.00,32442.00,32442.00,-
