price,assess,lotsize,sqrft
300000,349.1,6126,2438
370000,351.5,9903,2076
191000,217.7,5200,1374
195000,231.8,4600,1448
373000,319.1,6095,2514
466275,414.5,8566,2754
332500,367.8,9000,2067
315000,300.2,6210,1731
206000,236.1,6000,1767
240000,256.3,2892,1890
285000,314,6000,2336
300000,416.5,7047,2634
405000,434,12237,3375
212000,279.3,6460,1899
265000,287.5,6519,2312
227400,232.9,3597,1760
240000,303.8,5922,2000
285000,305.6,7123,1774
268000,266.7,5642,1376
310000,326,8602,1835
266000,294.3,5494,2048
270000,318.8,7800,2124
225000,294.2,6003,1768
150000,208,5218,1732
247000,239.7,9425,1440
275000,294.1,6114,1932
230000,267.4,6710,1932
343000,359.9,8577,2106
477500,478.1,8400,3529
350000,355.3,9773,2051
230000,217.8,4806,1573
335000,385,15086,2829
251000,224.3,5763,1630
235000,251.9,6383,1840
361000,354.9,9000,2066
190000,212.5,3500,1702
360000,452.4,10892,2750
575000,518.1,15634,3880
209001,289.4,6400,1854
225000,268.1,8880,1421
246000,278.5,6314,1662
713500,655.4,28231,3331
248000,273.3,7050,1656
230000,212.1,5305,1171
375000,354,6637,2293
265000,252.1,7834,1764
313000,324,1000,2768
417500,475.5,8112,3733
253000,256.8,5850,1536
315000,279.2,6660,1638
264000,313.9,6637,1972
255000,279.8,15267,1478
210000,198.7,5146,1408
180000,221.5,6017,1812
250000,268.4,8410,1722
250000,282.3,5625,1780
209000,230.7,5600,1674
258000,287,6525,1850
289000,298.7,6060,1925
316000,314.6,5539,2343
225000,291,7566,1567
266000,286.4,5484,1664
310000,253.6,5348,1386
471250,482,15834,2617
335000,384.3,8022,2321
495000,543.6,11966,2638
279500,336.5,8460,1915
380000,515.1,15105,2589
325000,437,10859,2709
220000,263.4,6300,1587
215000,300.4,11554,1694
240000,250.7,6000,1536
725000,708.6,31000,3662
230000,276.3,4054,1736
306000,388.6,20700,2205
425000,252.5,5525,1502
318000,295.2,92681,1696
330000,359.5,8178,2186
246000,276.2,5944,1928
225000,249.8,18838,1294
111000,202.4,4315,1535
268125,254,5167,1980
244000,306.8,7893,2090
295000,318.3,6056,1837
236000,259.4,5828,1715
202500,258.1,6341,1574
219000,232,6362,1185
242000,252,4950,1774
