Date,Open,High,Low,Close,Adj Close,Volume
1/1/85,247.100006,278.899994,245.800003,278.700012,278.700012,1782060000
2/1/85,277.899994,289.299988,277.899994,284.200012,284.200012,1742850000
3/1/85,285.100006,287.799988,275.600006,279.200012,279.200012,1611310000
4/1/85,279.5,284.799988,276.200012,280.600006,280.600006,1506450000
5/1/85,280.5,294.799988,278.799988,290.799988,290.799988,1673270000
6/1/85,291.399994,296.200012,286.700012,296.200012,296.200012,1582580000
7/1/85,295.899994,307.899994,295.5,301.299988,301.299988,1769440000
8/1/85,302.600006,304.600006,295.100006,297.700012,297.700012,1636000000
9/1/85,297.299988,297.700012,279.5,280.299988,280.299988,1334990000
10/1/85,280.600006,292.799988,276.600006,292.5,292.5,1858340000
11/1/85,293,314,292.5,314,314,1840880000
12/1/85,313.899994,325.600006,312.299988,324.899994,324.899994,2212020000
1/1/86,325,335.799988,322.100006,335.799988,335.799988,2410850000
2/1/86,336.100006,359.799988,335.799988,359.5,359.5,2345500000
3/1/86,360,374.700012,359.100006,374.700012,374.700012,2595900000
4/1/86,375.799988,393,368,383.200012,383.200012,2814600000
5/1/86,383.200012,400.399994,381.5,400.200012,400.200012,2412320000
6/1/86,400.700012,405.5,391.799988,405.5,405.5,2569400000
7/1/86,407,411.299988,369.100006,371.399994,371.399994,2411040000
8/1/86,372.5,383.200012,364.399994,382.899994,382.899994,2101540000
9/1/86,382.799988,384,342.299988,350.700012,350.700012,2203180000
10/1/86,352.5,361.600006,351.200012,360.799988,360.799988,2152890000
11/1/86,361,362.5,349.100006,359.600006,359.600006,2074770000
12/1/86,357.399994,364.700012,347,348.799988,348.799988,2608890000
1/1/87,351.299988,396.200012,348.799988,392.100006,392.100006,3184620000
2/1/87,393.799988,425,392,425,425,3029700000
3/1/87,425,440,422.899994,430.100006,430.100006,3305000000
4/1/87,426.299988,439.200012,407.399994,417.799988,417.799988,3027000000
5/1/87,418.600006,424.799988,404.5,416.5,416.5,2783700000
6/1/87,415.5,429.899994,413.5,424.700012,424.700012,3274900000
7/1/87,424.5,434.899994,423.700012,434.899994,434.899994,3379500000
8/1/87,433.299988,455.799988,431.200012,455,455,3136000000
9/1/87,455.5,456.299988,434.899994,444.299988,444.299988,3092900000
10/1/87,446.200012,453.700012,288.5,323.299988,323.299988,4074200000
11/1/87,325.399994,328.799988,301.600006,305.200012,305.200012,2497350000
12/1/87,306.399994,333.200012,291.899994,330.5,330.5,2943710000
1/1/88,335.100006,349.700012,329,344.700012,344.700012,2465240000
2/1/88,346.200012,367,343.5,367,367,2492870000
3/1/88,367.399994,382.600006,366.700012,374.600006,374.600006,3154880000
4/1/88,373.700012,384.299988,369.799988,379.200012,379.200012,2502240000
5/1/88,379,383.100006,362.399994,370.299988,370.299988,2467340000
6/1/88,372.700012,394.799988,372.700012,394.700012,394.700012,3096040000
7/1/88,394.200012,397.5,382.100006,387.299988,387.299988,2609630000
8/1/88,387.600006,389.5,372.200012,376.600006,376.600006,2590980000
9/1/88,374.200012,388.399994,372.200012,387.700012,387.700012,2344120000
10/1/88,384.700012,388.899994,380.700012,382.5,382.5,2496530000
11/1/88,382.700012,383.100006,364,371.5,371.5,2285850000
12/1/88,372.100006,381.399994,371.200012,381.399994,381.399994,2486740000
1/1/89,378.899994,401.399994,376.899994,401.299988,401.299988,2716010000
2/1/89,401.799988,410.100006,398.200012,399.700012,399.700012,2527450000
3/1/89,401,409.799988,397.799988,406.700012,406.700012,2869270000
4/1/89,407,427.600006,406.5,427.600006,427.600006,2661880000
5/1/89,425.899994,446.200012,425.799988,446.200012,446.200012,3074870000
6/1/89,446.799988,454.600006,431.700012,435.299988,435.299988,3014700000
7/1/89,434.5,453.799988,434.399994,453.799988,453.799988,2499440000
8/1/89,455.200012,469.399994,452.399994,469.299988,469.299988,3057070000
9/1/89,469.899994,474.600006,464.899994,472.899994,472.899994,2623010000
10/1/89,472.799988,487.5,447.100006,455.600006,455.600006,3160470000
11/1/89,456.200012,457.799988,446.799988,456.100006,456.100006,2532190000
12/1/89,456.600006,459.399994,431.799988,454.799988,454.799988,2777730000
1/1/90,452.899994,461.600006,410,415.799988,415.799988,3027830000
2/1/90,416.799988,430.899994,416.200012,425.799988,425.799988,2420920000
3/1/90,425.299988,443.299988,424.5,435.5,435.5,2885450000
4/1/90,431.600006,438.5,417,420.100006,420.100006,2591450000
5/1/90,422,460,420.700012,459,459,3468570000
6/1/90,459.5,469.399994,453.200012,462.299988,462.299988,3142690000
7/1/90,461.600006,470.299988,436.799988,438.200012,438.200012,2984860000
8/1/90,437.700012,438.600006,359.700012,381.200012,381.200012,3111320000
9/1/90,379,385.200012,334.600006,344.5,344.5,2089400000
10/1/90,349,360.899994,323,329.799988,329.799988,2688480000
11/1/90,328.600006,359.100006,327.799988,359.100006,359.100006,2378230000
12/1/90,361.100006,378,359.799988,373.799988,373.799988,2500100000
1/1/91,373,414.200012,353,414.200012,414.200012,2924360000
2/1/91,415.100006,454.200012,413.5,453.100006,453.100006,3312960000
3/1/91,450.600006,483.320007,450.299988,482.299988,482.299988,3585210000
4/1/91,480.179993,512.679993,479.119995,484.720001,484.720001,4113980000
5/1/91,481.940002,506.119995,476.579987,506.109985,506.109985,3377720000
6/1/91,505.839996,508.040009,470.920013,475.920013,475.920013,2835480000
7/1/91,478.059998,502.130005,471.23999,502.040009,502.040009,3098110000
8/1/91,502.269989,527.710022,487.079987,525.679993,525.679993,3274400000
9/1/91,526.299988,529.210022,511.049988,526.880005,526.880005,3215650000
10/1/91,527.140015,543.01001,513.210022,542.97998,542.97998,4070930000
11/1/91,542.169983,558.159973,516.390015,523.900024,523.900024,3700150000
12/1/91,519.47998,586.349976,518.630005,586.340027,586.340027,3632360000
1/1/92,580.039978,632.98999,576.130005,620.210022,620.210022,5605540000
2/1/92,620.570007,646.090027,617.080017,633.469971,633.469971,4219570000
3/1/92,634.039978,637.210022,599.599976,603.77002,603.77002,4048220000
4/1/92,598.619995,603.169983,557.059998,578.679993,578.679993,3946710000
5/1/92,579.72998,591.210022,571.01001,585.309998,585.309998,3114980000
6/1/92,583.669983,591.070007,545.950012,563.599976,563.599976,3589630000
7/1/92,563.72998,581.01001,553.76001,580.830017,580.830017,3591650000
8/1/92,579.619995,583.840027,550.359985,563.119995,563.119995,3083350000
9/1/92,562.51001,594.210022,562.359985,583.27002,583.27002,3700770000
10/1/92,581.080017,606.580017,551.719971,605.169983,605.169983,4223690000
11/1/92,603.76001,652.75,603.309998,652.72998,652.72998,4404630000
12/1/92,650.580017,676.950012,648.75,676.950012,676.950012,4949710000
1/1/93,675.309998,711.030029,670.51001,696.340027,696.340027,5187460000
2/1/93,697.97998,711.280029,647.789978,670.77002,670.77002,4973610000
3/1/93,670.880005,697.409973,668.73999,690.130005,690.130005,5119150000
4/1/93,690.820007,691.150024,644.710022,661.419983,661.419983,4887000000
5/1/93,662.75,707.049988,661.429993,700.530029,700.530029,5106460000
6/1/93,700.960022,706.630005,682.890015,703.950012,703.950012,5371310000
7/1/93,702.01001,713.960022,694.530029,704.700012,704.700012,5191300000
8/1/93,706.380005,742.909973,705.059998,742.840027,742.840027,5712060000
9/1/93,743.650024,766.570007,724.47998,762.780029,762.780029,5776680000
10/1/93,761.619995,791.200012,758.900024,779.26001,779.26001,6700790000
11/1/93,780.369995,786.099976,737.669983,754.390015,754.390015,6246880000
12/1/93,759.900024,776.869995,750.299988,776.799988,776.799988,6225130000
1/1/94,774.109985,800.630005,768.409973,800.469971,800.469971,6683340000
2/1/94,798.419983,799.98999,767.299988,792.5,792.5,5993960000
3/1/94,792.099976,804.429993,731.849976,743.460022,743.460022,7321980000
4/1/94,723.059998,755.349976,703.400024,733.840027,733.840027,5623380000
5/1/94,733.969971,742.460022,703.840027,735.190002,735.190002,5743170000
6/1/94,733.179993,744.940002,690.950012,705.960022,705.960022,6016150000
7/1/94,706.289978,725.190002,699.409973,722.159973,722.159973,5335860000
8/1/94,722.840027,767.599976,715.909973,765.619995,765.619995,6695930000
9/1/94,763,779.580017,752.48999,764.289978,764.289978,5964610000
10/1/94,764.469971,778.809998,737.619995,777.48999,777.48999,6625590000
11/1/94,776.25,776.859985,728.780029,750.320007,750.320007,6188120000
12/1/94,748.830017,751.97998,710.940002,751.960022,751.960022,6169730000
1/1/95,751.309998,774.309998,740.469971,755.200012,755.200012,6429730000
2/1/95,756.679993,796.02002,756.679993,793.72998,793.72998,6206060000
3/1/95,794.330017,829.919983,790.349976,817.210022,817.210022,7600900000
4/1/95,816.059998,844.419983,810.890015,843.97998,843.97998,6910700000
5/1/95,844.719971,885.919983,839.429993,864.580017,864.580017,8133750000
6/1/95,865.669983,941.169983,863.840027,933.450012,933.450012,8795140000
7/1/95,933.98999,1023.030029,931.98999,1001.210022,1001.210022,9056140000
8/1/95,1001.570007,1035.189941,970.809998,1020.109985,1020.109985,9872930000
9/1/95,1019.419983,1070.22998,1008.440002,1043.540039,1043.540039,8983540000
10/1/95,1041.390015,1050.650024,959.359985,1036.060059,1036.060059,9660490000
11/1/95,1037.300049,1068.810059,1016.580017,1059.199951,1059.199951,9544310000
12/1/95,1060.660034,1074.849976,1001.530029,1052.130005,1052.130005,9972500000
1/1/96,1052.829956,1059.810059,977.789978,1059.790039,1059.790039,11326210000
2/1/96,1058.26001,1121.890015,1057.819946,1100.050049,1100.050049,10690430000
3/1/96,1098.939941,1119.839966,1057.869995,1101.400024,1101.400024,10648850000
4/1/96,1105.77002,1190.869995,1092.439941,1190.52002,1190.52002,11951730000
5/1/96,1190.47998,1252.810059,1163.209961,1243.430054,1243.430054,14550600000
6/1/96,1242.540039,1254.119995,1147.75,1185.02002,1185.02002,11479100000
7/1/96,1185.640015,1198.040039,1008.440002,1080.589966,1080.589966,11807920000
8/1/96,1081.339966,1153.900024,1080.410034,1141.5,1141.5,9696450000
9/1/96,1133.300049,1237.26001,1123.140015,1226.920044,1226.920044,10646990000
10/1/96,1223.72998,1269.619995,1202.359985,1221.51001,1221.51001,12543840000
11/1/96,1223.719971,1293.75,1218.22998,1292.609985,1292.609985,10973580000
12/1/96,1294.780029,1328.949951,1251.030029,1291.030029,1291.030029,11852910000
1/1/97,1292.650024,1400.530029,1272.339966,1379.849976,1379.849976,14074400000
2/1/97,1383.969971,1384.51001,1296.880005,1309,1309,12037800000
3/1/97,1306.209961,1332.339966,1220.400024,1221.699951,1221.699951,11834210000
4/1/97,1211.280029,1267.410034,1194.160034,1260.76001,1260.76001,12452400000
5/1/97,1263.930054,1414.26001,1260.939941,1400.319946,1400.319946,12905590000
6/1/97,1407.069946,1467.290039,1375.449951,1442.069946,1442.069946,12580930000
