date,mid_price
31:32.2,18969.235
31:32.3,18969.595
31:32.4,18969.32
31:32.5,18969.05
31:32.6,18968.97
31:32.7,18969.31
31:32.8,18969.345
31:32.9,18969.245
31:33.0,18969.125
31:33.1,18969.175
31:33.2,18969.185
31:33.3,18969.3
31:33.4,18969.265
31:33.5,18969.265
31:33.6,18969.41
31:33.7,18969.145
31:33.8,18969.37
31:33.9,18969.39
31:34.0,18967.585
31:34.1,18967.23
31:34.2,18967.235
31:34.3,18967.235
31:34.4,18967.325
31:34.5,18967.325
31:34.6,18967.325
31:34.7,18967.665
31:34.8,18968.095
31:34.9,18968.105
31:35.0,18968.115
31:35.1,18968.14
31:35.2,18967.815
31:35.3,18967.5
31:35.4,18967.49
31:35.5,18967.49
31:35.6,18967.54
31:35.7,18967.55
31:35.8,18967.925
31:35.9,18967.805
31:36.0,18967.81
31:36.1,18967.78
31:36.2,18968.93
31:36.3,18969.785
31:36.4,18969.785
31:36.5,18969.79
31:36.6,18969.115
31:36.7,18969.025
31:36.8,18970.265
31:36.9,18970.255
31:37.0,18970.105
31:37.1,18970.1
31:37.2,18969.97
31:37.3,18969.77
31:37.4,18968.525
31:37.5,18968.66
31:37.6,18968.595
31:37.7,18968.575
31:37.8,18968.875
31:37.9,18968.975
31:38.0,18968.86
31:38.1,18968.77
31:38.2,18968.74
31:38.3,18968.74
31:38.4,18968.505
31:38.5,18968.685
31:38.6,18968.865
31:38.7,18968.89
31:38.8,18968.915
31:38.9,18969.19
31:39.0,18969.205
31:39.1,18969.28
31:39.2,18969.26
31:39.3,18969.26
31:39.4,18969.335
31:39.5,18969.33
31:39.6,18969.35
31:39.7,18969.36
31:39.8,18969.395
31:40.0,18969.425
31:40.0,18968.985
31:40.2,18968.965
31:40.2,18968.955
31:40.4,18969.1
31:40.5,18969.09
31:40.6,18969.09
31:40.7,18969.425
31:40.8,18969.085
31:40.9,18969.085
31:41.0,18969.08
31:41.1,18969.075
31:41.2,18969.08
31:41.3,18969.105
31:41.4,18969.1
31:41.5,18969.165
31:41.6,18969.18
31:41.7,18969.2
31:41.8,18969.22
31:41.9,18969.09
31:42.0,18969.18
31:42.1,18969.18
31:42.2,18969.175
31:42.3,18969.175
31:42.4,18969.165
31:42.5,18969.165
31:42.6,18968.9
31:42.7,18968.785
31:42.8,18968.63
31:42.9,18968.635
31:43.0,18968.865
31:43.1,18968.84
31:43.2,18969.665
31:43.3,18969.695
31:43.4,18969.965
31:43.5,18968.665
31:43.6,18969.32
31:43.7,18969.17
31:43.8,18969.175
31:43.9,18969.16
31:44.0,18969.115
